date,temperature,humidity,wind_speed,wind_direction,cloud_cover,pressure,visibility,solar_noon_distance,power_generated
2022-04-13 14:00:00,32.01,56.94,1.09,38.39,55.78,1018.32,9.15,2,51.46
2022-04-17 20:00:00,27.83,80.12,0.0,142.13,51.85,993.14,15.88,8,0.0
2023-09-07 12:00:00,22.08,77.92,3.48,233.63,19.89,999.21,9.5,0,68.57
2022-11-27 10:00:00,30.7,54.65,4.32,96.69,6.46,1011.97,5.96,2,52.01
2022-04-10 08:00:00,35.53,66.34,2.74,200.92,84.26,1020.29,9.0,4,13.26
2023-10-24 13:00:00,27.54,59.01,0.0,165.65,8.25,965.43,8.99,1,75.64
2023-05-07 01:00:00,33.84,75.07,1.97,117.58,64.9,1025.0,9.68,11,0.0
2022-07-11 00:00:00,33.58,59.09,0.0,192.79,74.77,1023.13,9.87,12,0.0
2023-04-05 18:00:00,24.35,77.29,0.0,0.7,73.87,1027.02,10.59,6,0.0
2023-07-15 15:00:00,31.89,58.48,0.0,254.13,69.98,1033.27,9.96,3,30.25
2023-04-21 14:00:00,26.29,65.25,1.05,85.09,31.83,1018.55,13.13,2,73.45
2022-07-09 08:00:00,33.25,73.7,6.48,294.35,47.53,979.43,5.23,4,23.2
2023-07-21 02:00:00,33.39,76.23,2.94,165.21,26.6,1003.61,5.58,10,0.0
2023-04-30 10:00:00,34.08,76.07,0.91,321.25,38.5,997.48,11.22,2,65.72
2022-06-16 14:00:00,28.53,66.73,0.0,244.67,5.78,974.97,3.26,2,67.42
2022-11-12 15:00:00,25.36,68.2,0.0,192.37,86.62,1032.41,8.08,3,19.57
2022-12-12 09:00:00,34.13,72.98,5.96,158.11,7.97,1002.54,10.43,3,40.95
2022-04-02 12:00:00,28.23,89.74,5.87,226.35,81.0,1028.51,12.33,0,43.27
2023-03-04 08:00:00,35.5,54.67,4.57,320.47,89.02,1024.91,9.24,4,13.7
2022-07-25 07:00:00,37.96,52.65,7.84,231.11,57.15,1056.66,11.11,5,17.99
2023-01-23 11:00:00,33.97,66.98,3.16,309.03,29.5,1036.01,5.8,1,91.24
2023-07-20 11:00:00,35.23,56.56,3.9,353.55,43.75,1010.28,11.57,1,45.13
2023-04-22 11:00:00,40.67,49.73,3.88,144.23,6.84,1022.23,10.29,1,78.96
2022-06-11 09:00:00,33.47,56.35,5.45,98.31,20.16,1000.24,9.01,3,42.53
2022-09-27 14:00:00,20.29,75.28,1.61,286.82,56.7,995.36,4.82,2,44.71
2023-04-01 17:00:00,22.93,67.17,0.0,165.19,65.51,1003.54,11.98,5,16.5
2023-12-03 18:00:00,22.58,70.56,0.0,309.76,92.17,1021.93,5.22,6,0.0
2022-12-04 13:00:00,36.08,69.17,0.0,109.2,24.7,1007.64,10.63,1,74.28
2022-08-05 17:00:00,23.19,49.5,0.0,309.58,94.48,1002.04,10.27,5,5.8
2023-05-08 18:00:00,20.82,60.34,0.0,7.41,21.4,1030.95,9.14,6,0.0
2022-03-06 14:00:00,24.2,59.21,2.85,70.03,23.06,1009.59,10.68,2,67.77
2022-12-10 13:00:00,30.71,63.22,2.57,63.97,54.9,1048.71,13.47,1,43.62
2023-04-17 08:00:00,36.89,67.71,4.96,344.72,59.69,1020.07,11.07,4,29.0
2023-08-16 02:00:00,32.3,65.95,3.97,212.19,78.36,1019.61,7.33,10,0.0
